TIME  ns, IN1, IN2
207.031, -0.921442, -0.419361
206.055, -0.858499, -0.422608
205.078, -0.795557, -0.425855
204.102, -0.732614, -0.429101
203.125, -0.674983, -0.350897
202.148, -0.617969, -0.263238
201.172, -0.560955, -0.175579
200.195, -0.50394, -0.08792
199.219, -0.446926, -0.000261
198.242, -0.389911, 0.087398
197.266, -0.332897, 0.175057
196.289, -0.275883, 0.262717
195.313, -0.287102, 0.236096
194.336, -0.327012, 0.161424
193.359, -0.366922, 0.086751
192.383, -0.406832, 0.012078
191.406, -0.446742, -0.062594
190.43, -0.486652, -0.137267
189.453, -0.526562, -0.211939
188.477, -0.566472, -0.286612
187.5, -0.590128, -0.306431
186.523, -0.598292, -0.273964
185.547, -0.606455, -0.241498
184.57, -0.614619, -0.209032
183.594, -0.622782, -0.176565
182.617, -0.630946, -0.144099
181.641, -0.639109, -0.111633
180.664, -0.647272, -0.079166
179.688, -0.655902, -0.069555
178.711, -0.665524, -0.108515
177.734, -0.675145, -0.147475
176.758, -0.684766, -0.186434
175.781, -0.694387, -0.225394
174.805, -0.704008, -0.264353
173.828, -0.713629, -0.303313
172.852, -0.723251, -0.342273
171.875, -0.724434, -0.37126
170.898, -0.668133, -0.3323
169.922, -0.611831, -0.293341
168.945, -0.555529, -0.254381
167.969, -0.499228, -0.215421
166.992, -0.442926, -0.176462
166.016, -0.386624, -0.137502
165.039, -0.330323, -0.098542
164.062, -0.274021, -0.059583
163.086, -0.249344, -0.051011
162.109, -0.22683, -0.044518
161.133, -0.204315, -0.038025
160.156, -0.181801, -0.031531
159.18, -0.159287, -0.025038
158.203, -0.136773, -0.018545
157.227, -0.114259, -0.012052
156.25, -0.091744, -0.005558
155.273, -0.03626, -0.003896
154.297, 0.03057, -0.003896
153.32, 0.0974, -0.003896
152.344, 0.16423, -0.003896
151.367, 0.23106, -0.003896
150.391, 0.29789, -0.003896
149.414, 0.364719, -0.003896
148.438, 0.431549, -0.003896
147.461, 0.456322, 0.019401
146.484, 0.44696, 0.061608
145.508, 0.437598, 0.103814
144.531, 0.428236, 0.14602
143.555, 0.418874, 0.188226
142.578, 0.409512, 0.230433
141.602, 0.40015, 0.272639
140.625, 0.390788, 0.314845
139.648, 0.384925, 0.329002
138.672, 0.385281, 0.293289
137.695, 0.385637, 0.257576
136.719, 0.385994, 0.221863
135.742, 0.38635, 0.18615
134.766, 0.386706, 0.150437
133.789, 0.387063, 0.114724
132.813, 0.387419, 0.079011
131.836, 0.3858, 0.048752
130.859, 0.374397, 0.045505
129.883, 0.362994, 0.042258
128.906, 0.351591, 0.039012
127.93, 0.340189, 0.035765
126.953, 0.328786, 0.032518
125.977, 0.317383, 0.029272
125, 0.30598, 0.026025
124.023, 0.294577, 0.022778
123.047, 0.275871, 0.019532
122.07, 0.256985, 0.016285
121.094, 0.238099, 0.013039
120.117, 0.219213, 0.009792
119.141, 0.200327, 0.006545
118.164, 0.181441, 0.003299
117.188, 0.162555, 0.000052
116.211, 0.143669, -0.003195
115.234, 0.169837, 0.029193
114.258, 0.208419, 0.071399
113.281, 0.247, 0.113606
112.305, 0.285582, 0.155812
111.328, 0.324164, 0.198018
110.352, 0.362746, 0.240224
109.375, 0.401328, 0.282431
108.398, 0.43991, 0.324637
107.422, 0.450474, 0.320716
106.445, 0.441728, 0.285003
105.469, 0.432981, 0.24929
104.492, 0.424235, 0.213577
103.516, 0.415488, 0.177864
102.539, 0.406741, 0.142151
101.562, 0.397995, 0.106438
100.586, 0.389248, 0.070725
99.609, 0.388574, 0.047998
98.633, 0.40001, 0.044752
97.656, 0.411445, 0.041505
96.68, 0.42288, 0.038258
95.703, 0.434315, 0.035012
94.727, 0.445751, 0.031765
93.75, 0.457186, 0.028518
92.773, 0.468621, 0.025272
91.797, 0.466494, 0.022025
90.82, 0.412719, 0.018779
89.844, 0.358944, 0.015532
88.867, 0.305169, 0.012285
87.891, 0.251394, 0.009039
86.914, 0.197619, 0.005792
85.938, 0.143844, 0.002545
84.961, 0.090069, -0.000701
83.984, 0.036955, -0.003896
83.008, 0.024483, -0.003896
82.031, 0.012011, -0.003896
81.055, -0.000461, -0.003896
80.078, -0.012933, -0.003896
79.102, -0.025405, -0.003896
78.125, -0.037877, -0.003896
77.148, -0.050349, -0.003896
76.172, -0.062821, -0.003896
75.195, -0.077455, -0.003896
74.219, -0.09255, -0.003896
73.242, -0.107646, -0.003896
72.266, -0.122742, -0.003896
71.289, -0.137838, -0.003896
70.313, -0.152934, -0.003896
69.336, -0.16803, -0.003896
68.359, -0.183125, -0.003896
67.383, -0.176172, -0.003896
66.406, -0.156379, -0.003896
65.43, -0.136586, -0.003896
64.453, -0.116793, -0.003896
63.477, -0.097, -0.003896
62.5, -0.077207, -0.003896
61.523, -0.057414, -0.003896
60.547, -0.037621, -0.003896
