TIME μs, IN1, IN2
-742.187, -0.852121, -0.110282
-761.719, -1.288665, -0.722
-781.25, 0.433626, -0.057089
-800.781, 0.494928, 0.075893
-820.312, 1.592788, 0.448243
-839.844, 1.823134, 0.501436
-859.375, -0.283155, 0.075893
-878.906, -0.481921, -0.34965
-898.437, -2.117699, -0.801789
-917.969, -1.842504, -1.147543
-937.5, -0.524382, -0.030492
-957.031, 0.204606, -0.030492
-976.563, 2.128317, 0.501436
-996.094, 2.062504, 0.793997
-1.016, 1.511052, 0.767401
-1.035, 0.470248, 0.129086
-1.055, -1.93114, -0.34965
-1.074, -1.478143, -0.296457
-1.094, -2.151402, -1.120946
-1.113, 0.003186, -0.057089
-1.133, 0.564191, 0.075893
-1.152, 1.867452, 0.634419
-1.172, 2.164939, 0.501436
-1.191, 0.951374, 0.501436
-1.211, 0.485905, 0.395051
-1.23, -0.186027, 0.341858
-1.25, -1.527768, -0.110282
-1.27, -1.668683, -0.509228
-1.289, -1.244081, -0.775193
-1.309, 0.594709, 0.0227
-1.328, 0.435483, -0.26986
-1.348, 1.864002, 0.501436
-1.367, 1.620122, 0.501436
-1.387, -0.069527, 0.0227
-1.406, -0.35348, -0.722
-1.426, -1.683809, -0.429439
-1.445, -1.281234, -0.775193
-1.465, -0.732171, -0.030492
-1.484, -0.055462, -0.083685
-1.504, 1.566781, 0.448243
-1.523, 0.552514, 0.341858
-1.543, 1.437012, 0.448243
-1.562, -0.37126, 0.049297
-1.582, -0.399124, -0.030492
-1.602, -0.732967, -0.296457
-1.621, -0.933326, -0.402842
-1.641, 0.04485, -0.34965
-1.66, -0.146752, -0.34965
-1.68, 0.042461, 0.049297
-1.699, 0.108009, 0.0227
-1.719, -0.026006, -0.34965
-1.738, 0.062099, 0.0227
-1.758, -0.01141, 0.0227
-1.777, 0.211241, 0.0227
-1.797, 0.351359, 0.0227
-1.816, 0.230082, 0.0227
-1.836, -0.102434, 0.0227
-1.855, -0.380017, -0.34965
-1.875, -0.863267, -0.402842
-1.895, -0.903869, -0.402842
-1.914, -0.079081, -0.030492
-1.934, 0.252905, 0.0227
