TIME ms,IN-Nor
239.258,-0.138700553
238.77,-0.377538553
238.281,-0.032549553
237.793,0.285901447
237.305,-0.218313553
236.816,0.206288447
236.328,-0.297926553
235.84,0.073600447
235.352,-0.271388553
234.863,-0.218313553
234.375,-0.324463553
233.887,-0.377538553
233.398,0.179750447
232.91,-0.404076553
232.422,-0.138700553
231.934,-0.059087553
231.445,-0.324463553
230.957,-0.059087553
230.469,-0.244850553
229.98,0.206288447
229.492,-0.112162553
229.004,0.365514447
228.516,-0.059087553
228.027,-0.244850553
227.539,0.126675447
227.051,-0.271388553
226.562,0.285901447
226.074,-0.059087553
225.586,0.445126447
225.098,0.126675447
224.609,0.153213447
224.121,0.259363447
223.633,0.047062447
223.145,0.259363447
222.656,-0.032549553
222.168,0.338976447
221.68,0.259363447
221.191,0.206288447
220.703,0.179750447
220.215,0.100137447
219.727,0.392051447
219.238,-0.085625553
218.75,0.338976447
218.262,0.365514447
217.773,0.100137447
217.285,0.206288447
216.797,-0.085625553
216.309,0.206288447
215.82,-0.218313553
215.332,0.179750447
214.844,-0.351001553
214.355,-0.032549553
213.867,-0.271388553
213.379,-0.085625553
212.891,0.100137447
212.402,-0.404076553
211.914,0.100137447
211.426,-0.271388553
210.937,-0.351001553
210.449,-0.112162553
209.961,-0.377538553
209.473,0.126675447
208.984,-0.377538553
208.496,-0.218313553
208.008,-0.059087553
207.52,-0.377538553
207.031,0.073600447
206.543,-0.271388553
206.055,0.073600447
205.566,-0.112162553
205.078,0.259363447
204.59,-0.218313553
204.102,0.259363447
203.613,0.073600447
203.125,-0.324463553
202.637,0.232826447
202.148,-0.112162553
201.66,0.418589447
201.172,-0.085625553
200.684,0.232826447
200.195,0.232826447
199.707,0.100137447
199.219,0.206288447
198.73,-0.085625553
198.242,0.259363447
197.754,0.206288447
197.266,0.206288447
196.777,0.285901447
196.289,-0.112162553
195.801,0.418589447
195.312,-0.085625553
194.824,0.126675447
194.336,-0.351001553
193.848,0.153213447
193.359,0.259363447
192.871,-0.324463553
192.383,0.285901447
191.895,-0.165237553
191.406,-0.032549553
190.918,-0.351001553
190.43,0.100137447
189.941,-0.404076553
189.453,-0.165237553
188.965,-0.085625553
188.477,-0.297926553
187.988,0.126675447
187.5,-0.297926553
187.012,-0.085625553
186.523,-0.404076553
186.035,-0.377538553
185.547,0.126675447
185.059,-0.377538553
184.57,0.020525447
