TIME μs, IN1
-2.285, -0.444153
-2.305, 1.334397
-2.324, 0.621332
-2.344, 1.52361
-2.363, 0.56348
-2.383, -0.621955
-2.402, -0.709529
-2.422, -1.892841
-2.441, -1.023204
-2.461, -0.385505
-2.48, 1.41799
-2.5, 2.122298
-2.52, 1.496011
-2.539, 1.341297
-2.559, -0.806657
-2.578, -1.593231
-2.598, -1.9698
-2.617, -1.539891
-2.637, 0.34826
-2.656, 1.304675
-2.676, 1.96493
-2.695, 2.167147
-2.715, 0.566664
-2.734, 0.889627
-2.754, -2.071704
-2.773, -1.127231
-2.793, -1.934505
-2.813, -0.818599
-2.832, 1.808358
-2.852, 0.649196
-2.871, 2.018005
-2.891, 0.63805
-2.91, 0.010171
-2.93, -1.428963
-2.949, -1.927605
-2.969, -0.764727
-2.988, -0.854955
-3.008, 0.987285
-3.027, 1.02948
-3.047, 1.091312
-3.066, 0.601428
-3.086, -0.565961
-3.105, -0.672376
-3.125, -1.056906
-3.145, -0.481837
-3.164, 0.113667
-3.184, -0.355518
-3.203, 0.915899
-3.223, 0.156658
-3.242, 0.315353
-3.262, 0.148166
-3.281, -0.135255
-3.301, 0.163293
-3.32, -0.014509
-3.34, 0.114463
-3.359, -0.188861
-3.379, -0.243263
-3.398, -0.520847
-3.418, -0.351802
-3.437, -0.030697
-3.457, 0.655034
-3.477, 1.023376
-3.496, 0.671753
-3.516, 0.511731
-3.535, -0.520847
-3.555, -1.178979
-3.574, -1.242404
-3.594, -0.974905
-3.613, 0.329949
-3.633, 0.935802
-3.652, 2.064181
-3.672, 1.127934
-3.691, 0.761981
-3.711, 0.304738
-3.73, -2.116287
-3.75, -1.004362
-3.77, -1.595885
-3.789, -0.395324
-3.809, 1.985099
-3.828, 1.049118
-3.848, 2.099741
-3.867, 0.532431
-3.887, -0.351802
-3.906, -1.912744
-3.926, -2.165912
-3.945, -0.845932
-3.965, -0.772954
-3.984, 2.076388
-4.004, 1.938658
-4.023, 1.757406
-4.043, 0.933414
-4.063, -1.065398
-4.082, -1.625872
-4.102, -1.991561
-4.121, -1.183491
-4.141, 0.555518
-4.16, 0.920145
-4.18, 2.086207
-4.199, 1.021518
-4.219, 0.988877
-4.238, 0.481478
-4.258, -1.871611
-4.277, -0.507313
-4.297, -1.298664
-4.316, -0.211153
-4.336, 0.442733
-4.355, 1.005596
-4.375, 1.217101
-4.395, 0.114198
-4.414, 0.1617
-4.434, -0.860793
-4.453, -0.560122
-4.473, -0.335084
-4.492, -0.130213
-4.512, 0.369224
-4.531, 0.071738
-4.551, 0.144185
-4.57, -0.107656
-4.59, -0.116945
-4.609, 0.192749
-4.629, 0.261747
-4.648, 0.351709
-4.668, 0.044139
-4.688, -0.0713
-4.707, -0.908826
-4.727, -0.551365
-4.746, -0.485021
-4.766, -0.153832
-4.785, 0.48254
-4.805, 1.12475
-4.824, 0.84637
-4.844, 0.151881
-4.863, -0.281743
-4.883, -1.629322
-4.902, -1.715835
-4.922, -0.669723
-4.941, -0.176389
-4.961, 1.746791
-4.98, 1.841265
-5, 1.280791
-5.02, 0.60939
-5.039, -1.043903
-5.059, -1.630649
-5.078, -2.140436
-5.098, -0.719348
-5.117, 0.222206
-5.137, 1.747853
-5.156, 2.162105
-5.176, 1.154206
-5.195, 0.874766
-5.215, 0.12614
-5.234, -2.158747
-5.254, -1.158545
-5.273, -2.117614
-5.293, 0.247417
-5.312, 0.154535
-5.332, 1.928308
-5.352, 2.166351
-5.371, 0.106502
-5.391, 0.113933
-5.41, -2.10408
-5.43, -1.639672
-5.449, -0.923422
-5.469, -0.209295
-5.488, 1.166414
-5.508, 1.240454
-5.527, 1.888236
-5.547, 0.142859
-5.566, -0.579495
-5.586, -1.1198
-5.605, -1.81084
-5.625, -0.260513
-5.645, -0.197884
-5.664, 0.913511
-5.684, 1.071409
-5.703, 0.29943
-5.723, 0.34136
-5.742, 0.022113
-5.762, -0.232648
-5.781, -0.279089
-5.801, -0.22336
-5.82, 0.051038
-5.84, -0.031228
-5.859, -0.099695
-5.879, -0.231587
-5.898, -0.123844
-5.918, 0.032728
-5.938, 0.503505
-5.957, 0.679183
-5.977, 0.495543
-5.996, 0.219021
-6.016, -0.68193
-6.035, -0.81223
-6.055, -1.431352
-6.074, -0.26529
-6.094, 0.288285
-6.113, 1.222939
-6.133, 1.944762
-6.152, 0.710498
-6.172, 0.297573
-6.191, -0.137378
-6.211, -1.286191
-6.23, -1.61738
-6.25, -1.153503
-6.27, 0.428934
-6.289, 0.525796
-6.309, 2.105314
-6.328, 1.087066
-6.348, 0.100133
-6.367, -0.475733
-6.387, -2.129291
-6.406, -2.037471
-6.426, -0.705814
-6.445, 0.088191
-6.465, 1.715211
-6.484, 1.966522
-6.504, 2.133709
-6.523, 0.277935
-6.543, -1.298398
-6.563, -1.795713
-6.582, -2.163259
-6.602, -0.387893
-6.621, 0.211591
-6.641, 1.873641
-6.66, 2.165024
-6.68, 0.98012
-6.699, 1.754222
-6.719, -0.741905
-6.738, -0.444684
-6.758, -1.425779
-6.777, -0.958452
-6.797, 0.630354
-6.816, 0.034054
-6.836, 1.743607
-6.855, 1.111481
-6.875, 0.219287
-6.895, -0.221237
-6.914, -0.978886
