TIME  ns, IN1, IN2
73.662,-0.639392,0.001688
71.724,-0.615055,0.001688
69.785,-0.591258,0.001688
67.847,-0.56746,0.001688
65.908,-0.543663,0.001688
63.97,-0.520232,0.001688
62.031,-0.4974,0.001688
60.093,-0.474567,0.001688
58.154,-0.451734,0.001688
56.216,-0.428738,0.001688
54.277,-0.405262,0.001688
52.339,-0.381786,0.001688
50.4,-0.35831,0.001688
48.462,-0.334587,0.001688
46.523,-0.309181,0.001688
44.585,-0.283776,0.001688
42.646,-0.25837,0.001688
40.708,-0.232964,0.001688
38.77,-0.207237,0.001688
36.831,-0.18151,0.001688
34.893,-0.155783,0.001688
32.954,-0.130056,0.001688
31.016,-0.104386,0.001688
29.077,-0.078723,0.001688
27.139,-0.05306,0.001688
25.2,-0.027397,0.001688
23.262,-0.002941,0.064565
21.323,0.021113,0.148363
19.385,0.045168,0.232161
17.446,0.069223,0.315959
15.508,0.093037,0.303175
13.569,0.116706,0.232269
11.631,0.140375,0.161363
9.692,0.164043,0.090457
7.754,0.188129,0.093424
5.815,0.212634,0.170776
3.877,0.237139,0.248128
1.938,0.261644,0.32548
0,0.286556,0.378837
-1.938,0.312154,0.391729
-3.877,0.337752,0.404621
-5.815,0.363351,0.417513
-7.754,0.388775,0.427231
-9.692,0.413666,0.427231
-11.631,0.438557,0.427231
-13.569,0.463448,0.427231
-15.508,0.488215,0.416385
-17.446,0.512077,0.326141
-19.385,0.535938,0.235897
-21.323,0.5598,0.145653
-23.262,0.583662,0.055409
-25.2,0.607332,0.131781
-27.139,0.631001,0.209133
-29.077,0.65467,0.286485
-31.016,0.678339,0.363837
-32.954,0.701226,0.38523
-34.893,0.723994,0.398122
-36.831,0.746762,0.411014
-38.77,0.769531,0.423906
-40.708,0.792252,0.432015
-42.646,0.814956,0.438461
-44.585,0.83766,0.444907
-46.523,0.860364,0.451353
-48.462,0.883028,0.453828
-50.4,0.905668,0.453828
-52.339,0.928308,0.453828
-54.277,0.950948,0.453828
-56.216,0.973178,0.453828
-58.154,0.994981,0.453828
-60.093,1.016785,0.453828
-62.031,1.038588,0.453828
-63.97,1.060322,0.453828
-65.908,1.081932,0.453828
-67.847,1.103543,0.453828
-69.785,1.125154,0.453828
-71.724,1.146367,0.473769
-73.662,1.166305,0.557567
-75.601,1.186243,0.641365
-77.539,1.206182,0.725164
-79.478,1.226084,0.791644
-81.416,1.245701,0.720738
-83.354,1.265318,0.649832
-85.293,1.284935,0.578926
-87.231,1.304552,0.50802
-89.17,1.322393,0.583283
-91.108,1.340209,0.660635
-93.047,1.358025,0.737987
-94.985,1.375841,0.815339
-96.924,1.395703,0.759664
-98.862,1.415899,0.682312
-100.801,1.436095,0.60496
-102.739,1.45629,0.527608
-104.678,1.473512,0.50229
-106.616,1.489656,0.495844
-108.555,1.5058,0.489398
-110.493,1.521943,0.482952
-112.432,1.53883,0.52744
-114.37,1.556196,0.604792
-116.309,1.573561,0.682145
-118.247,1.590927,0.759497
-120.186,1.606248,0.765419
-122.124,1.619368,0.694513
-124.063,1.632489,0.623607
-126.001,1.64561,0.552701
-127.939,1.65912,0.534539
-129.878,1.673334,0.611891
-131.816,1.687548,0.689244
-133.755,1.701762,0.766596
-135.693,1.715622,0.829139
-137.632,1.728292,0.842031
-139.57,1.740963,0.854923
-141.509,1.753633,0.867815
-143.447,1.766277,0.870012
-145.386,1.77869,0.779768
-147.324,1.791104,0.689524
-149.263,1.803517,0.59928
-151.201,1.81593,0.509036
-153.14,1.829161,0.582645
-155.078,1.84241,0.659997
-157.017,1.85566,0.73735
-158.955,1.868909,0.814702
-160.894,1.879256,0.837157
-162.832,1.889096,0.850049
-164.771,1.898937,0.862941
-166.709,1.908777,0.875833
-168.647,1.917031,0.879371
-170.586,1.924685,0.879371
-172.524,1.932339,0.879371
-174.463,1.939993,0.879371
-176.401,1.946914,0.879371
-178.34,1.953345,0.879371
-180.278,1.959777,0.879371
-182.217,1.966209,0.879371
-184.155,1.973402,0.879371
-186.094,1.981442,0.879371
-188.032,1.989481,0.879371
-189.971,1.997521,0.879371
-191.909,2.004399,0.879371
-193.848,2.009094,0.879371
-195.786,2.013789,0.879371
-197.725,2.018484,0.879371
-199.663,2.023279,0.879371
-201.602,2.028425,0.879371
-203.54,2.03357,0.879371
-205.479,2.038715,0.879371
-207.417,2.043695,0.870756
-209.355,2.047104,0.780512
-211.294,2.050513,0.690268
-213.232,2.053921,0.600024
-215.171,2.05733,0.50978
-217.109,2.057933,0.582008
-219.048,2.058448,0.65936
-220.986,2.058962,0.736712
-222.925,2.059477,0.814064
